F1 for AiM
Racer,Guanyu Zhou
Vehicle,Kick Sauber
Track,Autodromo Nazionale di Monza
Championship,Season 2024
Car_data
Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime
2024-08-30 15:00:40.848,4368,37,1,1,False,8,car,0 days 00:00:00.022000,0 days 00:13:40.754000
2024-08-30 15:00:41.048,4395,38,1,2,False,8,car,0 days 00:00:00.222000,0 days 00:13:40.954000
2024-08-30 15:00:41.208,4486,39,1,2,False,8,car,0 days 00:00:00.382000,0 days 00:13:41.114000
2024-08-30 15:00:41.448,4505,39,1,0,False,8,car,0 days 00:00:00.622000,0 days 00:13:41.354000
2024-08-30 15:00:41.888,4154,37,1,0,False,8,car,0 days 00:00:01.062000,0 days 00:13:41.794000
2024-08-30 15:00:42.088,4081,36,1,0,False,8,car,0 days 00:00:01.262000,0 days 00:13:41.994000
2024-08-30 15:00:42.368,4119,36,1,2,False,8,car,0 days 00:00:01.542000,0 days 00:13:42.274000
2024-08-30 15:00:42.568,4145,38,1,3,False,8,car,0 days 00:00:01.742000,0 days 00:13:42.474000
2024-08-30 15:00:42.888,4741,41,1,6,False,8,car,0 days 00:00:02.062000,0 days 00:13:42.794000
2024-08-30 15:00:43.088,5018,43,1,7,False,8,car,0 days 00:00:02.262000,0 days 00:13:42.994000
2024-08-30 15:00:43.288,5211,45,1,7,False,8,car,0 days 00:00:02.462000,0 days 00:13:43.194000
2024-08-30 15:00:43.649,5724,49,1,9,False,8,car,0 days 00:00:02.823000,0 days 00:13:43.555000
2024-08-30 15:00:43.889,6066,52,1,11,False,8,car,0 days 00:00:03.063000,0 days 00:13:43.795000
2024-08-30 15:00:44.049,6575,53,1,12,False,8,car,0 days 00:00:03.223000,0 days 00:13:43.955000
2024-08-30 15:00:44.249,6614,57,1,14,False,8,car,0 days 00:00:03.423000,0 days 00:13:44.155000
2024-08-30 15:00:44.569,7027,61,1,15,False,8,car,0 days 00:00:03.743000,0 days 00:13:44.475000
2024-08-30 15:00:44.769,7582,64,1,19,False,8,car,0 days 00:00:03.943000,0 days 00:13:44.675000
2024-08-30 15:00:45.128,6939,68,1,21,False,8,car,0 days 00:00:04.302000,0 days 00:13:45.034000
2024-08-30 15:00:45.368,6508,73,2,22,False,8,car,0 days 00:00:04.542000,0 days 00:13:45.274000
2024-08-30 15:00:45.528,6669,74,2,23,False,8,car,0 days 00:00:04.702000,0 days 00:13:45.434000
2024-08-30 15:00:45.768,7086,77,2,28,False,8,car,0 days 00:00:04.942000,0 days 00:13:45.674000
2024-08-30 15:00:46.128,7694,86,2,34,False,8,car,0 days 00:00:05.302000,0 days 00:13:46.034000
2024-08-30 15:00:46.368,8021,89,2,37,False,8,car,0 days 00:00:05.542000,0 days 00:13:46.274000
2024-08-30 15:00:46.608,8495,95,2,41,False,8,car,0 days 00:00:05.782000,0 days 00:13:46.514000
2024-08-30 15:00:46.928,8957,101,2,42,False,8,car,0 days 00:00:06.102000,0 days 00:13:46.834000
2024-08-30 15:00:47.168,8425,107,2,40,False,8,car,0 days 00:00:06.342000,0 days 00:13:47.074000
2024-08-30 15:00:47.408,8328,111,3,42,False,8,car,0 days 00:00:06.582000,0 days 00:13:47.314000
2024-08-30 15:00:47.608,8721,116,3,45,False,8,car,0 days 00:00:06.782000,0 days 00:13:47.514000
2024-08-30 15:00:47.848,9016,121,3,48,False,8,car,0 days 00:00:07.022000,0 days 00:13:47.754000
2024-08-30 15:00:48.008,9324,123,3,52,False,8,car,0 days 00:00:07.182000,0 days 00:13:47.914000
2024-08-30 15:00:48.168,9489,127,3,53,False,8,car,0 days 00:00:07.342000,0 days 00:13:48.074000
2024-08-30 15:00:48.488,8961,135,3,53,False,8,car,0 days 00:00:07.662000,0 days 00:13:48.394000
2024-08-30 15:00:48.648,8608,139,4,55,False,8,car,0 days 00:00:07.822000,0 days 00:13:48.554000
2024-08-30 15:00:48.848,9013,141,4,57,False,8,car,0 days 00:00:08.022000,0 days 00:13:48.754000
2024-08-30 15:00:49.008,9221,141,4,61,False,8,car,0 days 00:00:08.182000,0 days 00:13:48.914000
2024-08-30 15:00:49.288,9575,153,4,63,False,8,car,0 days 00:00:08.462000,0 days 00:13:49.194000
2024-08-30 15:00:49.728,10283,162,4,65,False,8,car,0 days 00:00:08.902000,0 days 00:13:49.634000
2024-08-30 15:00:50.089,9026,171,5,62,False,8,car,0 days 00:00:09.263000,0 days 00:13:49.995000
2024-08-30 15:00:50.329,9290,174,5,62,False,8,car,0 days 00:00:09.503000,0 days 00:13:50.235000
2024-08-30 15:00:50.729,9764,182,5,68,False,8,car,0 days 00:00:09.903000,0 days 00:13:50.635000
2024-08-30 15:00:50.969,9961,188,5,73,False,8,car,0 days 00:00:10.143000,0 days 00:13:50.875000
2024-08-30 15:00:51.369,10379,196,5,69,False,8,car,0 days 00:00:10.543000,0 days 00:13:51.275000
2024-08-30 15:00:51.649,9571,201,5,64,False,8,car,0 days 00:00:10.823000,0 days 00:13:51.555000
2024-08-30 15:00:51.888,9397,203,6,62,False,8,car,0 days 00:00:11.062000,0 days 00:13:51.794000
2024-08-30 15:00:52.048,9464,206,6,63,False,8,car,0 days 00:00:11.222000,0 days 00:13:51.954000
2024-08-30 15:00:52.328,9376,208,6,10,True,8,car,0 days 00:00:11.502000,0 days 00:13:52.234000
2024-08-30 15:00:52.528,9236,207,6,0,True,8,car,0 days 00:00:11.702000,0 days 00:13:52.434000
2024-08-30 15:00:52.688,9020,202,6,0,True,8,car,0 days 00:00:11.862000,0 days 00:13:52.594000
2024-08-30 15:00:52.888,8792,197,6,0,True,8,car,0 days 00:00:12.062000,0 days 00:13:52.794000
2024-08-30 15:00:53.048,8721,193,6,0,True,8,car,0 days 00:00:12.222000,0 days 00:13:52.954000
2024-08-30 15:00:53.408,8365,185,6,0,True,8,car,0 days 00:00:12.582000,0 days 00:13:53.314000
2024-08-30 15:00:53.848,7668,171,6,0,True,8,car,0 days 00:00:13.022000,0 days 00:13:53.754000
2024-08-30 15:00:54.048,8402,167,6,0,True,8,car,0 days 00:00:13.222000,0 days 00:13:53.954000
2024-08-30 15:00:54.248,8484,163,5,0,True,8,car,0 days 00:00:13.422000,0 days 00:13:54.154000
2024-08-30 15:00:54.408,8285,162,5,0,True,8,car,0 days 00:00:13.582000,0 days 00:13:54.314000
2024-08-30 15:00:54.768,8072,156,5,0,True,8,car,0 days 00:00:13.942000,0 days 00:13:54.674000
2024-08-30 15:00:54.968,8068,154,5,0,False,8,car,0 days 00:00:14.142000,0 days 00:13:54.874000
2024-08-30 15:00:55.128,7874,153,5,1,False,8,car,0 days 00:00:14.302000,0 days 00:13:55.034000
2024-08-30 15:00:55.328,7827,152,5,0,False,8,car,0 days 00:00:14.502000,0 days 00:13:55.234000
2024-08-30 15:00:55.648,7715,145,5,0,True,8,car,0 days 00:00:14.822000,0 days 00:13:55.554000
2024-08-30 15:00:55.808,7289,142,5,0,True,8,car,0 days 00:00:14.982000,0 days 00:13:55.714000
2024-08-30 15:00:56.088,8208,133,5,0,True,8,car,0 days 00:00:15.262000,0 days 00:13:55.994000
2024-08-30 15:00:56.408,7522,124,4,0,True,8,car,0 days 00:00:15.582000,0 days 00:13:56.314000
2024-08-30 15:00:56.729,7250,118,4,0,True,8,car,0 days 00:00:15.903000,0 days 00:13:56.635000
2024-08-30 15:00:57.009,6671,112,4,0,True,8,car,0 days 00:00:16.183000,0 days 00:13:56.915000
2024-08-30 15:00:57.249,7234,104,4,0,True,8,car,0 days 00:00:16.423000,0 days 00:13:57.155000
2024-08-30 15:00:57.409,7325,102,3,0,True,8,car,0 days 00:00:16.583000,0 days 00:13:57.315000
2024-08-30 15:00:57.569,7122,96,3,0,True,8,car,0 days 00:00:16.743000,0 days 00:13:57.475000
2024-08-30 15:00:57.929,6432,91,3,0,True,8,car,0 days 00:00:17.103000,0 days 00:13:57.835000
2024-08-30 15:00:58.129,6152,85,3,0,True,8,car,0 days 00:00:17.303000,0 days 00:13:58.035000
2024-08-30 15:00:58.369,6641,79,3,0,True,8,car,0 days 00:00:17.543000,0 days 00:13:58.275000
2024-08-30 15:00:58.528,6278,78,3,0,True,8,car,0 days 00:00:17.702000,0 days 00:13:58.434000
2024-08-30 15:00:58.848,6169,72,2,0,False,8,car,0 days 00:00:18.022000,0 days 00:13:58.754000
2024-08-30 15:00:59.088,5974,70,2,0,True,8,car,0 days 00:00:18.262000,0 days 00:13:58.994000
2024-08-30 15:00:59.248,5779,68,2,0,True,8,car,0 days 00:00:18.422000,0 days 00:13:59.154000
2024-08-30 15:00:59.528,5609,67,2,0,False,8,car,0 days 00:00:18.702000,0 days 00:13:59.434000
2024-08-30 15:00:59.688,5566,66,2,0,False,8,car,0 days 00:00:18.862000,0 days 00:13:59.594000
2024-08-30 15:01:00.008,5402,65,2,0,False,8,car,0 days 00:00:19.182000,0 days 00:13:59.914000
2024-08-30 15:01:00.168,5601,63,2,3,False,8,car,0 days 00:00:19.342000,0 days 00:14:00.074000
2024-08-30 15:01:00.368,5587,63,2,4,False,8,car,0 days 00:00:19.542000,0 days 00:14:00.274000
2024-08-30 15:01:00.848,5639,64,2,0,False,8,car,0 days 00:00:20.022000,0 days 00:14:00.754000
2024-08-30 15:01:01.008,5393,63,2,0,False,8,car,0 days 00:00:20.182000,0 days 00:14:00.914000
2024-08-30 15:01:01.248,5304,63,2,0,False,8,car,0 days 00:00:20.422000,0 days 00:14:01.154000
2024-08-30 15:01:01.488,5215,61,2,0,False,8,car,0 days 00:00:20.662000,0 days 00:14:01.394000
2024-08-30 15:01:01.728,5110,60,2,4,False,8,car,0 days 00:00:20.902000,0 days 00:14:01.634000
2024-08-30 15:01:01.928,5340,60,2,10,False,8,car,0 days 00:00:21.102000,0 days 00:14:01.834000
2024-08-30 15:01:02.248,5528,63,2,15,False,8,car,0 days 00:00:21.422000,0 days 00:14:02.154000
2024-08-30 15:01:02.648,6373,69,2,18,False,8,car,0 days 00:00:21.822000,0 days 00:14:02.554000
2024-08-30 15:01:02.888,6509,72,2,25,False,8,car,0 days 00:00:22.062000,0 days 00:14:02.794000
2024-08-30 15:01:03.048,6509,76,2,25,False,8,car,0 days 00:00:22.222000,0 days 00:14:02.954000
2024-08-30 15:01:03.289,7133,80,2,35,False,8,car,0 days 00:00:22.463000,0 days 00:14:03.195000
2024-08-30 15:01:03.649,8173,89,2,46,False,8,car,0 days 00:00:22.823000,0 days 00:14:03.555000
2024-08-30 15:01:03.809,8369,89,2,47,False,8,car,0 days 00:00:22.983000,0 days 00:14:03.715000
2024-08-30 15:01:04.089,9160,101,2,53,False,8,car,0 days 00:00:23.263000,0 days 00:14:03.995000
2024-08-30 15:01:04.489,8565,112,2,54,False,8,car,0 days 00:00:23.663000,0 days 00:14:04.395000
2024-08-30 15:01:04.929,9465,123,3,59,False,8,car,0 days 00:00:24.103000,0 days 00:14:04.835000
2024-08-30 15:01:05.089,9810,129,3,62,False,8,car,0 days 00:00:24.263000,0 days 00:14:04.995000
2024-08-30 15:01:05.488,8775,139,3,60,False,8,car,0 days 00:00:24.662000,0 days 00:14:05.394000
2024-08-30 15:01:05.648,8892,144,4,61,False,8,car,0 days 00:00:24.822000,0 days 00:14:05.554000
2024-08-30 15:01:05.968,9535,149,4,65,False,8,car,0 days 00:00:25.142000,0 days 00:14:05.874000
2024-08-30 15:01:06.328,9638,159,4,67,False,8,car,0 days 00:00:25.502000,0 days 00:14:06.234000
2024-08-30 15:01:06.528,8803,164,4,67,False,8,car,0 days 00:00:25.702000,0 days 00:14:06.434000
2024-08-30 15:01:06.768,9232,173,5,79,False,8,car,0 days 00:00:25.942000,0 days 00:14:06.674000
2024-08-30 15:01:06.968,9530,180,5,80,False,8,car,0 days 00:00:26.142000,0 days 00:14:06.874000
2024-08-30 15:01:07.328,10277,188,5,87,False,8,car,0 days 00:00:26.502000,0 days 00:14:07.234000
2024-08-30 15:01:07.568,10460,198,5,92,False,8,car,0 days 00:00:26.742000,0 days 00:14:07.474000
2024-08-30 15:01:07.808,9465,204,6,100,False,8,car,0 days 00:00:26.982000,0 days 00:14:07.714000
2024-08-30 15:01:08.088,9872,213,6,100,False,8,car,0 days 00:00:27.262000,0 days 00:14:07.994000
2024-08-30 15:01:08.328,10162,219,6,100,False,8,car,0 days 00:00:27.502000,0 days 00:14:08.234000
2024-08-30 15:01:08.488,10399,223,6,100,False,8,car,0 days 00:00:27.662000,0 days 00:14:08.394000
2024-08-30 15:01:08.688,10343,230,6,100,False,8,car,0 days 00:00:27.862000,0 days 00:14:08.594000
2024-08-30 15:01:08.928,9400,233,6,100,False,8,car,0 days 00:00:28.102000,0 days 00:14:08.834000
2024-08-30 15:01:09.208,9775,239,7,100,False,8,car,0 days 00:00:28.382000,0 days 00:14:09.114000
2024-08-30 15:01:09.688,10139,251,7,100,False,8,car,0 days 00:00:28.862000,0 days 00:14:09.594000
2024-08-30 15:01:09.889,10024,254,7,87,False,8,car,0 days 00:00:29.063000,0 days 00:14:09.795000
2024-08-30 15:01:10.209,9837,254,7,0,True,8,car,0 days 00:00:29.383000,0 days 00:14:10.115000
2024-08-30 15:01:10.369,9666,242,7,0,True,8,car,0 days 00:00:29.543000,0 days 00:14:10.275000
2024-08-30 15:01:10.609,9364,236,7,0,False,8,car,0 days 00:00:29.783000,0 days 00:14:10.515000
2024-08-30 15:01:10.929,9176,231,7,12,False,8,car,0 days 00:00:30.103000,0 days 00:14:10.835000
2024-08-30 15:01:11.129,9259,228,7,40,False,8,car,0 days 00:00:30.303000,0 days 00:14:11.035000
2024-08-30 15:01:11.529,9251,228,7,59,False,8,car,0 days 00:00:30.703000,0 days 00:14:11.435000
2024-08-30 15:01:11.729,9221,231,7,63,False,8,car,0 days 00:00:30.903000,0 days 00:14:11.635000
2024-08-30 15:01:12.048,9333,233,7,65,False,8,car,0 days 00:00:31.222000,0 days 00:14:11.954000
2024-08-30 15:01:12.288,9394,235,7,70,False,8,car,0 days 00:00:31.462000,0 days 00:14:12.194000
2024-08-30 15:01:12.448,9508,237,7,70,False,8,car,0 days 00:00:31.622000,0 days 00:14:12.354000
2024-08-30 15:01:12.648,9661,239,7,78,False,8,car,0 days 00:00:31.822000,0 days 00:14:12.554000
2024-08-30 15:01:12.968,9739,244,7,100,False,8,car,0 days 00:00:32.142000,0 days 00:14:12.874000
2024-08-30 15:01:13.288,10066,250,7,100,False,8,car,0 days 00:00:32.462000,0 days 00:14:13.194000
2024-08-30 15:01:13.528,10182,250,7,100,False,8,car,0 days 00:00:32.702000,0 days 00:14:13.434000
2024-08-30 15:01:13.688,10286,255,7,100,False,8,car,0 days 00:00:32.862000,0 days 00:14:13.594000
2024-08-30 15:01:13.848,10351,258,7,100,False,8,car,0 days 00:00:33.022000,0 days 00:14:13.754000
2024-08-30 15:01:14.128,10447,261,7,100,False,8,car,0 days 00:00:33.302000,0 days 00:14:14.034000
2024-08-30 15:01:14.448,10601,265,7,100,False,8,car,0 days 00:00:33.622000,0 days 00:14:14.354000
2024-08-30 15:01:14.808,10745,267,7,100,False,8,car,0 days 00:00:33.982000,0 days 00:14:14.714000
2024-08-30 15:01:15.088,10832,270,7,100,False,8,car,0 days 00:00:34.262000,0 days 00:14:14.994000
2024-08-30 15:01:15.328,10920,272,7,100,False,8,car,0 days 00:00:34.502000,0 days 00:14:15.234000
2024-08-30 15:01:15.528,10997,274,7,100,False,8,car,0 days 00:00:34.702000,0 days 00:14:15.434000
2024-08-30 15:01:15.768,11055,275,7,100,False,8,car,0 days 00:00:34.942000,0 days 00:14:15.674000
2024-08-30 15:01:16.008,10775,277,8,100,False,8,car,0 days 00:00:35.182000,0 days 00:14:15.914000
2024-08-30 15:01:16.288,10002,279,8,100,False,8,car,0 days 00:00:35.462000,0 days 00:14:16.194000
2024-08-30 15:01:16.529,9933,281,8,100,False,8,car,0 days 00:00:35.703000,0 days 00:14:16.435000
2024-08-30 15:01:16.889,10060,284,8,100,False,8,car,0 days 00:00:36.063000,0 days 00:14:16.795000
2024-08-30 15:01:17.049,10092,284,8,100,False,8,car,0 days 00:00:36.223000,0 days 00:14:16.955000
2024-08-30 15:01:17.489,10201,286,8,100,False,8,car,0 days 00:00:36.663000,0 days 00:14:17.395000
2024-08-30 15:01:17.689,10224,287,8,100,False,8,car,0 days 00:00:36.863000,0 days 00:14:17.595000
2024-08-30 15:01:18.129,9715,280,8,0,True,8,car,0 days 00:00:37.303000,0 days 00:14:18.035000
2024-08-30 15:01:18.409,8868,267,8,0,True,8,car,0 days 00:00:37.583000,0 days 00:14:18.315000
2024-08-30 15:01:18.768,8360,238,8,0,True,8,car,0 days 00:00:37.942000,0 days 00:14:18.674000
2024-08-30 15:01:19.088,8429,216,7,0,True,8,car,0 days 00:00:38.262000,0 days 00:14:18.994000
2024-08-30 15:01:19.248,8235,208,7,0,True,8,car,0 days 00:00:38.422000,0 days 00:14:19.154000
2024-08-30 15:01:19.488,8732,200,7,0,True,8,car,0 days 00:00:38.662000,0 days 00:14:19.394000
2024-08-30 15:01:19.688,8552,192,7,0,True,8,car,0 days 00:00:38.862000,0 days 00:14:19.594000
2024-08-30 15:01:20.048,7929,176,6,0,True,8,car,0 days 00:00:39.222000,0 days 00:14:19.954000
2024-08-30 15:01:20.328,8537,169,6,0,True,8,car,0 days 00:00:39.502000,0 days 00:14:20.234000
2024-08-30 15:01:20.648,8110,159,5,0,True,8,car,0 days 00:00:39.822000,0 days 00:14:20.554000
2024-08-30 15:01:20.888,7661,149,5,0,True,8,car,0 days 00:00:40.062000,0 days 00:14:20.794000
2024-08-30 15:01:21.048,7607,143,5,0,True,8,car,0 days 00:00:40.222000,0 days 00:14:20.954000
2024-08-30 15:01:21.408,7962,134,4,0,True,8,car,0 days 00:00:40.582000,0 days 00:14:21.314000
2024-08-30 15:01:21.688,7450,124,4,0,True,8,car,0 days 00:00:40.862000,0 days 00:14:21.594000
2024-08-30 15:01:21.848,7099,116,4,0,True,8,car,0 days 00:00:41.022000,0 days 00:14:21.754000
2024-08-30 15:01:22.128,7685,112,4,0,True,8,car,0 days 00:00:41.302000,0 days 00:14:22.034000
2024-08-30 15:01:22.408,7249,100,3,0,True,8,car,0 days 00:00:41.582000,0 days 00:14:22.314000
2024-08-30 15:01:22.648,6969,93,3,0,True,8,car,0 days 00:00:41.822000,0 days 00:14:22.554000
2024-08-30 15:01:22.889,6660,91,3,0,True,8,car,0 days 00:00:42.063000,0 days 00:14:22.795000
2024-08-30 15:01:23.089,6501,90,3,0,True,8,car,0 days 00:00:42.263000,0 days 00:14:22.995000
2024-08-30 15:01:23.249,6453,89,3,0,False,8,car,0 days 00:00:42.423000,0 days 00:14:23.155000
2024-08-30 15:01:23.409,6366,87,3,0,False,8,car,0 days 00:00:42.583000,0 days 00:14:23.315000
2024-08-30 15:01:23.649,6401,86,3,0,False,8,car,0 days 00:00:42.823000,0 days 00:14:23.555000
2024-08-30 15:01:23.929,6528,86,3,12,False,8,car,0 days 00:00:43.103000,0 days 00:14:23.835000
2024-08-30 15:01:24.129,6708,87,3,20,False,8,car,0 days 00:00:43.303000,0 days 00:14:24.035000
2024-08-30 15:01:24.289,6708,89,3,22,False,8,car,0 days 00:00:43.463000,0 days 00:14:24.195000
2024-08-30 15:01:24.489,6761,92,3,18,False,8,car,0 days 00:00:43.663000,0 days 00:14:24.395000
2024-08-30 15:01:24.769,7063,94,3,17,False,8,car,0 days 00:00:43.943000,0 days 00:14:24.675000
2024-08-30 15:01:25.009,7378,96,3,18,False,8,car,0 days 00:00:44.183000,0 days 00:14:24.915000
2024-08-30 15:01:25.209,7358,96,3,23,False,8,car,0 days 00:00:44.383000,0 days 00:14:25.115000
2024-08-30 15:01:25.368,7339,98,3,29,False,8,car,0 days 00:00:44.542000,0 days 00:14:25.274000
2024-08-30 15:01:25.648,7776,103,3,35,False,8,car,0 days 00:00:44.822000,0 days 00:14:25.554000
2024-08-30 15:01:25.848,8008,106,3,41,False,8,car,0 days 00:00:45.022000,0 days 00:14:25.754000
2024-08-30 15:01:26.168,8409,112,3,49,False,8,car,0 days 00:00:45.342000,0 days 00:14:26.074000
2024-08-30 15:01:26.368,8741,115,3,51,False,8,car,0 days 00:00:45.542000,0 days 00:14:26.274000
2024-08-30 15:01:26.568,8200,122,3,51,False,8,car,0 days 00:00:45.742000,0 days 00:14:26.474000
2024-08-30 15:01:26.808,8131,126,4,52,False,8,car,0 days 00:00:45.982000,0 days 00:14:26.714000
2024-08-30 15:01:27.008,8343,130,4,52,False,8,car,0 days 00:00:46.182000,0 days 00:14:26.914000
2024-08-30 15:01:27.208,8561,135,4,52,False,8,car,0 days 00:00:46.382000,0 days 00:14:27.114000
2024-08-30 15:01:27.408,8839,139,4,52,False,8,car,0 days 00:00:46.582000,0 days 00:14:27.314000
2024-08-30 15:01:27.568,8937,143,4,52,False,8,car,0 days 00:00:46.742000,0 days 00:14:27.474000
2024-08-30 15:01:27.848,9050,148,4,53,False,8,car,0 days 00:00:47.022000,0 days 00:14:27.754000
2024-08-30 15:01:28.128,9557,151,4,53,False,8,car,0 days 00:00:47.302000,0 days 00:14:28.034000
2024-08-30 15:01:28.288,9667,154,4,53,False,8,car,0 days 00:00:47.462000,0 days 00:14:28.194000
2024-08-30 15:01:28.528,10035,157,4,58,False,8,car,0 days 00:00:47.702000,0 days 00:14:28.434000
2024-08-30 15:01:28.968,9027,169,4,71,False,8,car,0 days 00:00:48.142000,0 days 00:14:28.874000
2024-08-30 15:01:29.208,9504,174,5,82,False,8,car,0 days 00:00:48.382000,0 days 00:14:29.114000
2024-08-30 15:01:29.529,10024,185,5,100,False,8,car,0 days 00:00:48.703000,0 days 00:14:29.435000
2024-08-30 15:01:29.929,9306,197,5,100,False,8,car,0 days 00:00:49.103000,0 days 00:14:29.835000
2024-08-30 15:01:30.369,9234,208,6,100,False,8,car,0 days 00:00:49.543000,0 days 00:14:30.275000
2024-08-30 15:01:30.689,9480,211,6,0,True,8,car,0 days 00:00:49.863000,0 days 00:14:30.595000
2024-08-30 15:01:30.929,8707,198,6,0,True,8,car,0 days 00:00:50.103000,0 days 00:14:30.835000
2024-08-30 15:01:31.129,8231,188,6,0,True,8,car,0 days 00:00:50.303000,0 days 00:14:31.035000
2024-08-30 15:01:31.329,9124,178,6,0,True,8,car,0 days 00:00:50.503000,0 days 00:14:31.235000
2024-08-30 15:01:31.489,8665,169,5,0,True,8,car,0 days 00:00:50.663000,0 days 00:14:31.395000
2024-08-30 15:01:31.809,8088,162,5,0,True,8,car,0 days 00:00:50.983000,0 days 00:14:31.715000
2024-08-30 15:01:31.969,7963,152,5,0,True,8,car,0 days 00:00:51.143000,0 days 00:14:31.875000
2024-08-30 15:01:32.208,7752,151,5,0,True,8,car,0 days 00:00:51.382000,0 days 00:14:32.114000
2024-08-30 15:01:32.368,7616,145,5,0,True,8,car,0 days 00:00:51.542000,0 days 00:14:32.274000
2024-08-30 15:01:32.568,7501,142,5,0,False,8,car,0 days 00:00:51.742000,0 days 00:14:32.474000
2024-08-30 15:01:32.728,7326,142,5,0,False,8,car,0 days 00:00:51.902000,0 days 00:14:32.634000
2024-08-30 15:01:32.968,7239,139,5,0,False,8,car,0 days 00:00:52.142000,0 days 00:14:32.874000
2024-08-30 15:01:33.168,7474,137,5,0,False,8,car,0 days 00:00:52.342000,0 days 00:14:33.074000
2024-08-30 15:01:33.408,7131,136,5,8,False,8,car,0 days 00:00:52.582000,0 days 00:14:33.314000
2024-08-30 15:01:33.688,7238,136,5,18,False,8,car,0 days 00:00:52.862000,0 days 00:14:33.594000
2024-08-30 15:01:33.888,7255,136,5,25,False,8,car,0 days 00:00:53.062000,0 days 00:14:33.794000
2024-08-30 15:01:34.288,7455,139,5,37,False,8,car,0 days 00:00:53.462000,0 days 00:14:34.194000
2024-08-30 15:01:34.528,7519,141,5,42,False,8,car,0 days 00:00:53.702000,0 days 00:14:34.434000
2024-08-30 15:01:34.728,7674,143,5,46,False,8,car,0 days 00:00:53.902000,0 days 00:14:34.634000
2024-08-30 15:01:34.968,7854,147,5,49,False,8,car,0 days 00:00:54.142000,0 days 00:14:34.874000
2024-08-30 15:01:35.288,8130,150,5,51,False,8,car,0 days 00:00:54.462000,0 days 00:14:35.194000
2024-08-30 15:01:35.488,8262,153,5,52,False,8,car,0 days 00:00:54.662000,0 days 00:14:35.394000
2024-08-30 15:01:35.648,8333,156,5,53,False,8,car,0 days 00:00:54.822000,0 days 00:14:35.554000
2024-08-30 15:01:35.968,8616,161,5,57,False,8,car,0 days 00:00:55.142000,0 days 00:14:35.874000
2024-08-30 15:01:36.329,8946,164,5,60,False,8,car,0 days 00:00:55.503000,0 days 00:14:36.235000
2024-08-30 15:01:36.569,9146,173,5,63,False,8,car,0 days 00:00:55.743000,0 days 00:14:36.475000
2024-08-30 15:01:36.929,9592,179,5,68,False,8,car,0 days 00:00:56.103000,0 days 00:14:36.835000
2024-08-30 15:01:37.089,9831,183,5,69,False,8,car,0 days 00:00:56.263000,0 days 00:14:36.995000
2024-08-30 15:01:37.329,10082,188,5,70,False,8,car,0 days 00:00:56.503000,0 days 00:14:37.235000
2024-08-30 15:01:37.609,9975,193,5,70,False,8,car,0 days 00:00:56.783000,0 days 00:14:37.515000
2024-08-30 15:01:37.929,9286,199,6,69,False,8,car,0 days 00:00:57.103000,0 days 00:14:37.835000
2024-08-30 15:01:38.089,9226,203,6,63,False,8,car,0 days 00:00:57.263000,0 days 00:14:37.995000
2024-08-30 15:01:38.329,9066,200,6,0,True,8,car,0 days 00:00:57.503000,0 days 00:14:38.235000
2024-08-30 15:01:38.689,8067,182,6,0,True,8,car,0 days 00:00:57.863000,0 days 00:14:38.595000
2024-08-30 15:01:39.008,8431,167,6,0,True,8,car,0 days 00:00:58.182000,0 days 00:14:38.914000
2024-08-30 15:01:39.208,8026,158,6,0,True,8,car,0 days 00:00:58.382000,0 days 00:14:39.114000
2024-08-30 15:01:39.408,7746,150,5,0,True,8,car,0 days 00:00:58.582000,0 days 00:14:39.314000
2024-08-30 15:01:39.648,7905,141,5,0,True,8,car,0 days 00:00:58.822000,0 days 00:14:39.554000
2024-08-30 15:01:39.928,8068,133,4,0,True,8,car,0 days 00:00:59.102000,0 days 00:14:39.834000
2024-08-30 15:01:40.208,7855,126,4,0,True,8,car,0 days 00:00:59.382000,0 days 00:14:40.114000
2024-08-30 15:01:40.488,7591,122,4,0,False,8,car,0 days 00:00:59.662000,0 days 00:14:40.394000
2024-08-30 15:01:40.768,7495,120,4,0,False,8,car,0 days 00:00:59.942000,0 days 00:14:40.674000
2024-08-30 15:01:41.128,7652,119,4,16,False,8,car,0 days 00:01:00.302000,0 days 00:14:41.034000
2024-08-30 15:01:41.328,7457,118,4,26,False,8,car,0 days 00:01:00.502000,0 days 00:14:41.234000
2024-08-30 15:01:41.768,7644,122,4,41,False,8,car,0 days 00:01:00.942000,0 days 00:14:41.674000
2024-08-30 15:01:42.168,7923,127,4,41,False,8,car,0 days 00:01:01.342000,0 days 00:14:42.074000
2024-08-30 15:01:42.368,8163,128,4,41,False,8,car,0 days 00:01:01.542000,0 days 00:14:42.274000
2024-08-30 15:01:42.608,8421,133,4,49,False,8,car,0 days 00:01:01.782000,0 days 00:14:42.514000
2024-08-30 15:01:42.889,8797,138,4,54,False,8,car,0 days 00:01:02.063000,0 days 00:14:42.795000
2024-08-30 15:01:43.169,8947,145,4,57,False,8,car,0 days 00:01:02.343000,0 days 00:14:43.075000
2024-08-30 15:01:43.369,9372,149,4,61,False,8,car,0 days 00:01:02.543000,0 days 00:14:43.275000
2024-08-30 15:01:43.569,9658,154,4,63,False,8,car,0 days 00:01:02.743000,0 days 00:14:43.475000
2024-08-30 15:01:43.729,8775,157,4,61,False,8,car,0 days 00:01:02.903000,0 days 00:14:43.635000
